agent_code ,doc_nbr,cus_id,company_order,package_id,car_id,post_date
0300,7444176,03770,MSIG ประกันภัย,none,001216,15/12/2015
0120,8235552,02476,อินทรประกันภัย,INT003,002759,9/4/2015
0302,8299071,02772,อินทรประกันภัย,none,001011,31/3/2015
0203,20954505,01923,มิตรแท้ประกันภัย,none,001201,8/4/2015
0001,20957917,04280,อินทรประกันภัย,none,002534,10/11/2016
0203,20958390,03859,อินทรประกันภัย,none,001502,10/11/2016
0203,20981156,00079,อินทรประกันภัย,none,001295,10/11/2016
0203,20995099,01834,อินทรประกันภัย,none,001375,1/9/2016
0713,20998930,03368,อินทรประกันภัย,none,002020,10/11/2016
0236,20999733,00211,อินทรประกันภัย,none,002134,6/10/2015
0236,20999734,02039,ชับบ์สามัคคีประกันภัย,none,000719,16/3/2015
0697,22575862,01372,อินทรประกันภัย,INT005,002006,17/3/2017
0697,22575865,02379,อินทรประกันภัย,none,003382,12/3/2016
0697,22575874,00133,อินทรประกันภัย,INT009,001798,16/3/2015
0697,22575877,01372,อินทรประกันภัย,INT005,002020,25/3/2015
0697,22575878,03862,ไทยไพบูลย์ประกันภัย,THP007,004710,22/3/2016
0002,22575879,01751,อินทรประกันภัย,none,003985,26/3/2015
0710,22575880,00930,อินทรประกันภัย,none,002325,17/3/2017
0711,22575886,03439,อินทรประกันภัย,none,005042,10/11/2016
0711,22575890,03439,MSIG ประกันภัย,none,005043,29/12/2015
0711,22575891,03439,อินทรประกันภัย,none,005044,9/2/2016
0697,22575893,04005,อินทรประกันภัย,none,005131,27/9/2015
0711,22575900,03439,อินทรประกันภัย,none,005045,20/10/2015
0417,22640668,03711,อินทรประกันภัย,none,000552,31/3/2017
0697,22640674,02977,อินทรประกันภัย,none,004381,31/3/2017
0203,22741819,00480,ไทยไพบูลย์ประกันภัย,none,001305,4/9/2017
0203,22741824,00378,อินทรประกันภัย,none,004114,30/3/2015
0713,22748351,04184,อินทรประกันภัย,none,002229,9/11/2015
0115,22749364,03248,อินทรประกันภัย,none,004147,2/2/2016
0203,22749392,03150,เอเชียประกันภัย 1950,none,000108,9/10/2017
0153,22757037,02384,อินทรประกันภัย,none,003824,9/10/2017
0292,22758818,00679,อินทรประกันภัย,none,003793,6/1/2016
0002,22775655,03010,ทิพยประกันภัย,none,000633,21/12/2016
0713,22783588,00113,อินทรประกันภัย,INT068,001091,6/1/2016
0565,22783737,01640,อินทรประกันภัย,none,003559,22/3/2016
0136,22784418,00261,อินทรประกันภัย,none,000054,1/9/2016
0697,22784422,01737,อาคเนย์ประกันภัย,none,000068,3/2/2015
0292,22784705,04132,อินทรประกันภัย,none,001380,8/9/2017
0415,22792146,01674,อินทรประกันภัย,none,003002,10/9/2016
0153,22792175,04196,อาคเนย์ประกันภัย,none,001966,16/9/2015
0372,22794720,00302,อินทรประกันภัย,none,000581,10/9/2016
0697,22795058,02830,อินทรประกันภัย,none,003742,20/4/2017
0001,22795122,04448,อินทรประกันภัย,none,000072,22/12/2015
0203,22795140,02507,อินทรประกันภัย,none,002318,12/11/2016
