cus_id,cus_type,cus_fname,cus_lname,cus_address,cus_province,cus_zipcode,cus_id_card,cus_phone,cus_email
1,2,CUSfname1,CUSlname1,,,,,,
2,1,CUSfname2,CUSlname2,,,,,,
3,1,CUSfname3,CUSlname3,,,,,,
4,1,CUSfname4,CUSlname4,,,,,,
5,1,CUSfname5,CUSlname5,,,,,,
6,1,CUSfname6,CUSlname6,,,,,,
7,1,CUSfname7,CUSlname7,,,,,,
8,1,CUSfname8,CUSlname8,,,,,,
9,1,CUSfname9,CUSlname9,,,,,,
10,1,CUSfname10,CUSlname10,,,,,,
11,1,CUSfname11,CUSlname11,,,,,,
12,1,CUSfname12,CUSlname12,,,,,,
13,1,CUSfname13,CUSlname13,,,,,,
14,1,CUSfname14,CUSlname14,,,,,,
15,1,CUSfname15,CUSlname15,,,,,,
16,1,CUSfname16,CUSlname16,,,,,,
17,1,CUSfname17,CUSlname17,,,,,,
18,1,CUSfname18,CUSlname18,,,,,,
19,1,CUSfname19,CUSlname19,,,,,,
20,1,CUSfname20,CUSlname20,,,,,,
21,1,CUSfname21,CUSlname21,,,,,,
22,1,CUSfname22,CUSlname22,,,,,,
23,1,CUSfname23,CUSlname23,,,,,,
24,1,CUSfname24,CUSlname24,,,,,,
25,1,CUSfname25,CUSlname25,,,,,,
26,1,CUSfname26,CUSlname26,,,,,,
27,1,CUSfname27,CUSlname27,,,,,,
28,1,CUSfname28,CUSlname28,,,,,,
29,1,CUSfname29,CUSlname29,,,,,,
30,1,CUSfname30,CUSlname30,,,,,,
31,1,CUSfname31,CUSlname31,,,,,,
32,1,CUSfname32,CUSlname32,,,,,,
33,1,CUSfname33,CUSlname33,,,,,,
34,1,CUSfname34,CUSlname34,,,,,,
35,1,CUSfname35,CUSlname35,,,,,,
36,1,CUSfname36,CUSlname36,,,,,,
37,1,CUSfname37,CUSlname37,,,,,,
38,1,CUSfname38,CUSlname38,,,,,,
39,1,CUSfname39,CUSlname39,,,,,,
40,1,CUSfname40,CUSlname40,,,,,,
41,1,CUSfname41,CUSlname41,,,,,,
42,1,CUSfname42,CUSlname42,,,,,,
43,1,CUSfname43,CUSlname43,,,,,,
44,1,CUSfname44,CUSlname44,,,,,,
45,1,CUSfname45,CUSlname45,,,,,,
46,1,CUSfname46,CUSlname46,,,,,,
47,1,CUSfname47,CUSlname47,,,,,,
48,1,CUSfname48,CUSlname48,,,,,,
49,1,CUSfname49,CUSlname49,,,,,,
50,1,CUSfname50,CUSlname50,,,,,,
51,1,CUSfname51,CUSlname51,,,,,,
52,1,CUSfname52,CUSlname52,,,,,,
53,1,CUSfname53,CUSlname53,,,,,,
54,1,CUSfname54,CUSlname54,,,,,,
55,1,CUSfname55,CUSlname55,,,,,,
56,1,CUSfname56,CUSlname56,,,,,,
57,2,CUSfname57,CUSlname57,,,,,,
58,1,CUSfname58,CUSlname58,,,,,,
59,2,CUSfname59,CUSlname59,,,,,,
60,2,CUSfname60,CUSlname60,,,,,,
61,2,CUSfname61,CUSlname61,,,,,,
62,1,CUSfname62,CUSlname62,,,,,,
63,1,CUSfname63,CUSlname63,,,,,,
64,1,CUSfname64,CUSlname64,,,,,,
65,1,CUSfname65,CUSlname65,,,,,,
66,1,CUSfname66,CUSlname66,,,,,,
67,1,CUSfname67,CUSlname67,,,,,,
68,1,CUSfname68,CUSlname68,,,,,,
69,1,CUSfname69,CUSlname69,,,,,,
70,1,CUSfname70,CUSlname70,,,,,,
71,1,CUSfname71,CUSlname71,,,,,,
72,1,CUSfname72,CUSlname72,,,,,,
73,1,CUSfname73,CUSlname73,,,,,,
74,1,CUSfname74,CUSlname74,,,,,,
75,1,CUSfname75,CUSlname75,,,,,,
76,1,CUSfname76,CUSlname76,,,,,,
77,1,CUSfname77,CUSlname77,,,,,,
78,1,CUSfname78,CUSlname78,,,,,,
79,1,CUSfname79,CUSlname79,,,,,,
80,1,CUSfname80,CUSlname80,,,,,,
81,1,CUSfname81,CUSlname81,,,,,,
82,1,CUSfname82,CUSlname82,,,,,,
83,2,CUSfname83,CUSlname83,,,,,,
84,1,CUSfname84,CUSlname84,,,,,,
85,1,CUSfname85,CUSlname85,,,,,,
86,1,CUSfname86,CUSlname86,,,,,,
87,1,CUSfname87,CUSlname87,,,,,,
88,1,CUSfname88,CUSlname88,,,,,,
89,2,CUSfname89,CUSlname89,,,,,,
90,1,CUSfname90,CUSlname90,,,,,,
91,1,CUSfname91,CUSlname91,,,,,,
92,1,CUSfname92,CUSlname92,,,,,,
93,1,CUSfname93,CUSlname93,,,,,,
94,1,CUSfname94,CUSlname94,,,,,,
95,1,CUSfname95,CUSlname95,,,,,,
96,1,CUSfname96,CUSlname96,,,,,,
97,1,CUSfname97,CUSlname97,,,,,,
98,1,CUSfname98,CUSlname98,,,,,,
99,1,CUSfname99,CUSlname99,,,,,,
100,1,CUSfname100,CUSlname100,,,,,,
101,1,CUSfname101,CUSlname101,,,,,,
102,1,CUSfname102,CUSlname102,,,,,,
103,1,CUSfname103,CUSlname103,,,,,,
104,1,CUSfname104,CUSlname104,,,,,,
105,1,CUSfname105,CUSlname105,,,,,,
106,1,CUSfname106,CUSlname106,,,,,,
107,1,CUSfname107,CUSlname107,,,,,,
108,1,CUSfname108,CUSlname108,,,,,,
109,1,CUSfname109,CUSlname109,,,,,,
110,1,CUSfname110,CUSlname110,,,,,,
111,1,CUSfname111,CUSlname111,,,,,,
112,1,CUSfname112,CUSlname112,,,,,,
113,1,CUSfname113,CUSlname113,,,,,,
114,1,CUSfname114,CUSlname114,,,,,,
115,1,CUSfname115,CUSlname115,,,,,,
116,1,CUSfname116,CUSlname116,,,,,,
117,1,CUSfname117,CUSlname117,,,,,,
118,1,CUSfname118,CUSlname118,,,,,,
119,1,CUSfname119,CUSlname119,,,,,,
